#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2NI
#Serial Number: SN:210321AD13B9
#Date Time: 2020-10-18 16:27:36.780
#Start: 100 Hz
#Stop: 2.12876e+06 Hz
#Steps: 151
#Wavegen: Wavegen1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16 
#Channel: Channel 1
#Range: 5.48719 V
#Offset: -9.66819e-06 V
#Relative: no
#Channel: Channel 2
#Range: 5.61438 V
#Offset: -0.000239504 V
#Relative: yes

Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
100.0000000000001,-0.02433337304415131,-0.01931185950003378,-0.7624215908862766
106.8696000702976,-0.02412309298462312,-0.01957344077230076,-0.8140666786289046
114.2111141918535,-0.02411791607195294,-0.01984956637245851,-0.8689276438642963
122.056960972665,-0.02424885182015859,-0.01993630788413724,-0.9307968843860834
130.4417860494462,-0.02410103647725229,-0.02029701024992921,-0.9929688792377789
139.4026150755964,-0.02412169262072927,-0.02069081822669248,-1.061667093287284
148.9790172188265,-0.02429383322567397,-0.02042305086940254,-1.13413442900098
159.2132798904196,-0.02457350065916434,-0.02080160658632157,-1.212302681351282
170.1505954776949,-0.0239848939946814,-0.02158761237625581,-1.295852302653856
181.8392609042427,-0.02449117855840263,-0.02107099358848846,-1.384370377202117
194.3308908991491,-0.02459246730844085,-0.02185219327268386,-1.479231014367599
207.6806459169669,-0.02447042989875774,-0.02218300101501022,-1.579264308822545
221.9474757148733,-0.02441189430127538,-0.02269451684029863,-1.688445635921042
237.1943796626062,-0.02447751715433951,-0.02350237236456683,-1.804838652476855
253.4886849346507,-0.02437644168713951,-0.02379962840617889,-1.926267636283512
270.9023438131179,-0.02437971342026819,-0.02464857455347653,-2.060021515470275
289.5122514141418,-0.02425816931745289,-0.02571773063831661,-2.200512470580357
309.4005852408077,-0.02413967899429197,-0.02703730390731015,-2.352195777132025
330.6551680620116,-0.02435508768742216,-0.02793615055395639,-2.512169253586848
353.3698557196424,-0.02453239208769383,-0.02921007113548462,-2.684319305383667
377.6449515765694,-0.02426649569991126,-0.03052476591083365,-2.8690453371009
403.587649435549,-0.02409390647132469,-0.03237622666485411,-3.064648240542539
431.3125068848862,-0.02403807162364352,-0.03444915277879409,-3.274425076618641
460.9419511610525,-0.02398714034004625,-0.03645844881756541,-3.498267860152509
492.6068197620436,-0.02437622257056006,-0.03881060518414906,-3.737815050314325
526.4469381987075,-0.02414768738491418,-0.04139714866572829,-3.992041054517792
562.6117374352858,-0.02403354088777782,-0.04510407936619657,-4.264741999262327
601.2609137456426,-0.02421835636805088,-0.04874237558752729,-4.556719322822858
642.565133898985,-0.02380170479288427,-0.0531371905306646,-4.867526295197081
686.706788789018,-0.02395368435659883,-0.05776501840468754,-5.197747717231323
733.8807988344064,-0.02364638882247092,-0.06318268369455041,-5.553322220463798
784.2954747070359,-0.02406715303122161,-0.06886130004156871,-5.929005131963862
838.1734371888518,-0.02354553372455512,-0.07595556179500204,-6.33354678225669
895.7526002191928,-0.02435458359364939,-0.08350527752384623,-6.762111142084123
957.2872214735436,-0.02413152286635303,-0.09277803362299018,-7.222739003835301
1023.049025112841,-0.0235938387555713,-0.1029251397527482,-7.710192599264118
1093.328401661171,-0.02368982538978463,-0.1141831203156303,-8.23107385022989
1168.435690310271,-0.02335927499405899,-0.1277017376525929,-8.784017214934167
1248.702549313208,-0.02390963025696287,-0.1427352975771958,-9.375079086279925
1334.483420518636,-0.0234481887522121,-0.1598064273611446,-10.00293738779065
1426.157094512693,-0.02377294671573289,-0.1788301086528196,-10.67482327929949
1524.128383279893,-0.02297177631939186,-0.2006966478877392,-11.38257102644896
1628.829907769115,-0.02438766418246469,-0.2251505086554981,-12.14053590174374
1740.72400825825,-0.02381241282799126,-0.2530589102414961,-12.94173717825936
1860.304785953247,-0.02435588519478351,-0.2848089728507862,-13.79530978567368
1988.100284836842,-0.02239368833426695,-0.3206693022783144,-14.69402024975626
2124.67482340158,-0.02268825164156856,-0.361340025409167,-15.64993154751625
2270.631486563572,-0.02251189832094055,-0.4074414662954187,-16.66097066021269
2426.614788760741,-0.02241948319625584,-0.4591351297707688,-17.72981762538794
2593.3135199953,-0.02216957494659019,-0.5170102142949404,-18.85454960617891
2771.463787387933,-0.02145865219918288,-0.5821748418817771,-20.04257095050588
2961.852265674612,-0.02227380102251705,-0.6555988888869207,-21.29164536319405
3165.319670999505,-0.02111288977334936,-0.7376022623043704,-22.59694331633253
3382.76447334363,-0.0211569806812703,-0.8295311687408958,-23.96727607254473
3615.146863982448,-0.02047079647963647,-0.9316889321186943,-25.39760437268717
3863.49299549195,-0.01884757797505155,-1.045947479872844,-26.88643582857442
4128.899513026206,-0.01891430006511805,-1.171973487635148,-28.43699476332996
4412.538396875575,-0.01878220414068395,-1.310682287819235,-30.04081752875732
4715.662137689251,-0.01651155952326963,-1.46442841162835,-31.7026595719222
5039.609267214947,-0.01620796389030565,-1.63323821797304,-33.40602342924376
5385.810268978273,-0.01702747568454677,-1.818770302814089,-35.15296251456429
5755.793895002103,-0.01639585241015344,-2.020006979799528,-36.93411147667919
6151.19391645935,-0.01405275602058968,-2.239301010975799,-38.75148474170437
6573.756338068581,-0.01279266683097187,-2.476934233080914,-40.59206370081057
7025.347108089746,-0.0120212077460111,-2.731887157681669,-42.45410060194335
7507.960357965726,-0.01514885316529534,-3.00673898557119,-44.32293636224424
8023.727207994444,-0.01716757108606676,-3.298899567721363,-46.18956937791585
8574.925177915324,-0.007771626013721443,-3.611789873473501,-48.04528984993874
9163.988243965368,-0.0212356258528615,-3.940785188866092,-49.89540611510891
9793.517586814873,-0.005091787407374511,-4.290102765389433,-51.71218259640727
10466.29307784332,-0.005162810362836051,-4.654117035683484,-53.49829147796852
11185.2855544764,-0.01851941978392543,-5.037276564345814,-55.26000374820847
11953.6699387897,-0.00480671676130701,-5.435720794614515,-56.973912669722
12774.83925730795,-0.00169539164334748,-5.849327156159482,-58.63486570992435
13652.41962390839,9.227151522031071e-05,-6.278451231250254,-60.24630337669832
14590.28625198972,0.001208513349185384,-6.720209470440964,-61.80882625796455
15592.58056661303,-0.002229245227418709,-7.175069853243831,-63.31109975351692
16663.72849217828,0.0007167081398400811,-7.641162194053858,-64.7467443629684
17808.45999639118,0.005028689220968897,-8.118884660737987,-66.12787091623727
19031.82997682218,0.005553563751305072,-8.606126276779699,-67.43914982187795
20339.24058228889,0.005530606940845466,-9.105054086048696,-68.6871150045509
21736.46506762781,0.008856651200520479,-9.605961441849857,-69.89293294293223
23229.67328719377,0.008785902164443242,-10.11818192838926,-71.02738982312128
24825.45893966076,0.01258071579574098,-10.63797656692164,-72.09237886165791
26530.86868443141,0.009374514701659812,-11.16365570258185,-73.09843684493757
28353.43325822766,0.01457804588574479,-11.69166594353035,-74.07201483604317
30301.20072926667,0.01317831577340767,-12.2260362790538,-74.96565638069093
32382.77203586538,0.009921550714140755,-12.76389004704368,-75.81845885722208
34607.33896640551,0.01910163936506196,-13.30575525148438,-76.64597421122005
36984.72474836987,0.02221584800485053,-13.85159400094858,-77.37308480641248
39525.42742568321,0.02507691186741311,-14.40168598353336,-78.076046429068
42240.66621590341,0.02761112988329998,-14.94789499905133,-78.80342911993012
45142.43105196526,0.01530328058005542,-15.49998220806718,-79.31498629911577
48243.53552724515,0.03295489887339866,-16.05768533625949,-79.91204434877228
51557.67347773886,0.03628166262761987,-16.61432688190074,-80.49966311053839
55099.47945120939,0.03824296458128364,-17.17321219178648,-81.02096043703766
58884.59333032333,0.04042222905383169,-17.73670707539632,-81.52508617290913
62929.72939513766,0.04085239288289261,-18.30685638163463,-81.93837968858881
67252.75012990415,0.03439809942406793,-18.86021653177843,-82.36789971733815
71872.74510010514,0.04876309173364758,-19.4290121084904,-82.78839188745722
76810.11524802675,0.05416746087761552,-20.0004036581521,-83.06539123241208
82086.66297910092,0.05601785713207712,-20.5520210975941,-83.47399689005536
87725.68843681822,0.04999912766310288,-21.1197898207025,-83.74753067968683
93752.09239134293,0.0650383334752998,-21.69021693109924,-83.99696744784744
100192.4861961641,0.06016745972459339,-22.25889993575237,-84.22987759751265
107075.3092983287,0.05796483131086272,-22.83595148366258,-84.64304494497495
114430.9548211581,0.07115859687715517,-23.39659757879592,-84.91725136185198
122291.9037739947,0.07267721643840692,-23.97286025500348,-85.06425054029592
130692.8684816212,0.06589936894580839,-24.55452285077901,-85.13939636343503
139670.9458667087,0.07307662406756002,-25.10746935057043,-85.36205049076146
149265.7812621534,0.06038501549980714,-25.68851146156067,-85.55748424530756
159519.7434766686,0.07016148181498093,-26.25090820679858,-85.73151866693487
170478.1118866805,0.06788297110243316,-26.82699343630269,-85.70396189911786
182189.2763806899,0.06537569735010734,-27.39877558113475,-86.06094366592862
194704.9510390126,0.06185485785717432,-28.00164610816486,-85.96543717926676
208080.4024924616,0.056173906251593,-28.5510196165063,-85.99251286269056
222374.6939683591,0.05333541523036708,-29.13178074414197,-86.1860283195813
237650.9461015338,0.03434025683128632,-29.64254508901242,-86.54004317755866
