#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2NI
#Serial Number: SN:210321ACBC12
#Date Time: 2023-10-10 16:15:05.289
#Start: 1000 Hz
#Stop: 50000 Hz
#Steps: 151
#Wavegen: Wavegen C1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16 
#Channel: Channel 1
#Range: 5.52732 V
#Offset: 0.000121525 V
#Relative: no
#Channel: Channel 2
#Range: 5.50644 V
#Offset: 3.2475e-05 V
#Relative: yes

Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
1000.000000000001,-0.01152673009265385,-0.08067403865220399,-6.94957796221388
1026.423216455724,-0.01122908440108926,-0.08443479652869304,-7.13090014707538
1053.544619279314,-0.01132985522524889,-0.08832087400761421,-7.31773564077514
1081.382656800294,-0.01096438055417783,-0.09207046493307916,-7.506693987388182
1109.956264812393,-0.01140009436323794,-0.09607159244052976,-7.702153791052041
1139.284879453918,-0.01129011949943816,-0.1002283078553409,-7.901835952933659
1169.388450428462,-0.01057569336374158,-0.104732178122745,-8.108022990760581
1200.287454574956,-0.01098472939629008,-0.1092927246627855,-8.318986173833679
1232.00290979628,-0.01072639621063904,-0.1149026637946933,-8.533128225659652
1264.556389355908,-0.01028988512226189,-0.1203778582912417,-8.754563348022913
1297.970036552327,-0.01075049850898214,-0.1255090589494443,-8.982898492024006
1332.266579781193,-0.0106594024055709,-0.1314764039545329,-9.21442509874619
1367.469347995478,-0.01137325139160144,-0.1375768408726338,-9.452420914889075
1403.602286574129,-0.01143863804320426,-0.1442984298084609,-9.697549927509293
1440.689973610027,-0.01094994534413608,-0.1509207895249373,-9.946532867272822
1478.757636628314,-0.01065702015122075,-0.1584686796790312,-10.20251268278221
1517.831169746499,-0.01133473336045156,-0.1654375585084686,-10.46494506079986
1557.937151287955,-0.01078436754782213,-0.1733751375730366,-10.73677247086992
1599.10286186085,-0.0104621868022313,-0.1818132876188994,-11.01010927714125
1641.356302914766,-0.01017877664982481,-0.190674417435066,-11.29307969852843
1684.726215787649,-0.0105064501327079,-0.1997420098901832,-11.58104568604826
1729.242101256038,-0.009987787582916468,-0.2095443810071161,-11.87814151186423
1774.934239601876,-0.01018581280447109,-0.2200715467255546,-12.18132533066606
1821.833711209552,-0.01002605413979771,-0.2302562891921212,-12.49213504627858
1869.972417707176,-0.01047276598473176,-0.2413003719484897,-12.81053272672794
1919.383103666486,-0.01144361085706064,-0.2530039740325918,-13.13817393987426
1970.099378876124,-0.008944249905248369,-0.2658036506153807,-13.46991465787547
2022.155741203453,-0.01017240810651567,-0.2782031120728379,-13.81039853208495
2075.587600060457,-0.00942188329260582,-0.2917897152444826,-14.15857167332916
2130.43130048967,-0.009321957550693039,-0.3063393618873306,-14.51431345261966
2186.724147886556,-0.01015064218921618,-0.3208421380430807,-14.88251094563162
2244.504433375122,-0.00867285776525571,-0.3370218346336718,-15.25402700785752
2303.811459854024,-0.009581868176875211,-0.3526040756313129,-15.63540163126066
2364.685568730922,-0.009846539751242948,-0.3699364759739023,-16.02498227681642
2427.168167363227,-0.009252896296363305,-0.3887351704323155,-16.42247289655282
2491.301757223907,-0.008933239578471428,-0.4071736388106875,-16.8336682444559
2557.129962811557,-0.00874322816348258,-0.4272172363691357,-17.25067408334822
2624.697561324345,-0.00799256997449257,-0.4482213443166974,-17.67261080056949
2694.050513118028,-0.009470273578941103,-0.46949967387619,-18.10596457731973
2765.235992968797,-0.008179717065249103,-0.4928642907853854,-18.550522499838
2838.302422162169,-0.008677187201182679,-0.5164294671796642,-18.99736564676681
2913.299501429765,-0.007714382435142147,-0.5410796236046405,-19.46215906049572
2990.278244756395,-0.007403942409971577,-0.5677433440378709,-19.9343113479829
3069.291014080435,-0.006397035196563875,-0.5955767312762152,-20.41418273415549
3150.39155491109,-0.007153677770552352,-0.6245680533424649,-20.90419194271328
3233.635032886788,-0.00651089008741952,-0.6537674129133977,-21.40351014386005
3319.078071299567,-0.007031459621683034,-0.6857777297364989,-21.91165137179564
3406.778789610961,-0.005737607859761527,-0.7183017044271476,-22.43247171300558
3496.79684298562,-0.006432094022175417,-0.7525272163441415,-22.95932066646518
3589.193462869519,-0.005857297436490563,-0.7883203056219844,-23.49378423034706
3684.031498640387,-0.005413126484098356,-0.8258720561617865,-24.04165391284707
3781.375460358668,-0.004812473705353648,-0.864929396941547,-24.59560814978488
3881.291562648086,-0.004638036371974116,-0.9052814678740529,-25.16431188191652
3983.847769735708,-0.005962959044952186,-0.9478969347380556,-25.74095537138595
4089.113841682086,-0.005323639787770926,-0.9918953244416333,-26.32607337043981
4197.161381832949,-0.004689840871241721,-1.038381434137399,-26.9184028048457
4308.063885524723,-0.003812599674346778,-1.086264165985971,-27.51634905852871
4421.896790077029,-0.00432562993411862,-1.136480976988534,-28.13100976255473
4538.737526106105,-0.005986084371845984,-1.188312248545849,-28.74903966013856
4658.665570194121,-0.00282236539499692,-1.242441378005521,-29.37830350475496
4781.762498950186,-0.002135497339432255,-1.298831626826686,-30.0160194180187
4908.112044499811,-0.002739855988660216,-1.357512329855624,-30.66131900252287
5037.800151440571,-0.00234122839371222,-1.417847793530275,-31.31342649765496
5170.915035302761,-0.001753566904205372,-1.480846907195708,-31.97070126634397
5307.547242554724,-0.001624594997917469,-1.546287998869635,-32.64337964474866
5447.789712193725,-0.002068386844089938,-1.61388795999799,-33.31870261136574
5591.737838964283,-0.0009475901548286644,-1.685468739119849,-33.99766467744298
5739.489538246898,-0.01189476042370334,-1.757485185828001,-34.68879054151364
5891.145312661356,-0.006081085461421323,-1.83308377055635,-35.38303659916713
6046.808320429927,-0.002043477415800174,-1.911731484714831,-36.08600653283597
6206.584445546919,0.0003268548359281011,-1.992078824535996,-36.792995471474
6370.582369802333,0.001261217797427075,-2.075571454792145,-37.49881521635184
6538.913646708635,0.0009227712139110139,-2.16132854673783,-38.21566997119808
6711.692777380902,-0.01417468629441934,-2.251037787071856,-38.93909934067739
6889.037288421955,-0.0009388257156690587,-2.342434092388638,-39.65886232478357
7071.067811865478,0.002243793874385398,-2.436545053977738,-40.38393810433618
7257.908167231501,0.002615808115844568,-2.533313665721704,-41.10639143992404
7449.685445750019,-0.009273467806819327,-2.633258816111375,-41.84072543199522
7646.530096810126,0.003235616318598974,-2.736686260301887,-42.57436421387857
7848.576016693344,0.003032708302979719,-2.841828917194915,-43.31305563932415
8055.960639651633,-0.01229129187049308,-2.951384162893476,-44.04827693671385
8268.82503139194,0.004453810021976967,-3.062944608819868,-44.77710486650255
8487.313985030911,0.003936266343208271,-3.176859516942875,-45.51405413793435
8711.576119585074,-0.001526438498581507,-3.294483927193525,-46.24810997946473
8941.763981063385,0.005547926541142074,-3.4154533590504,-46.98121335930939
9178.034146231013,-0.005258793862120472,-3.537229579645495,-47.71324882274246
9420.547329114897,0.006578756042431223,-3.663654502406561,-48.44015406717313
9669.468490323487,0.002475207176331558,-3.792138545141162,-49.16622691086233
9924.966949255106,0.007384411593325632,-3.924475178248701,-49.89011425362945
10187.21649927118,0.007086902337695642,-4.059034647268193,-50.61146796039219
10456.39552591273,0.007364307509468045,-4.19740814863707,-51.32360230974469
10732.68712824059,0.005859403538198919,-4.335154140966819,-52.0360988559475
11016.27924338164,0.008972803352863873,-4.479514387226904,-52.73833763101385
11307.36477436621,0.006829303960472414,-4.624870923662799,-53.44806535873454
11606.14172134312,0.009595839335623118,-4.772552259142884,-54.13383915888659
11912.81331626197,0.003534049533628063,-4.923097089113193,-54.83217053780135
12227.58816111418,0.008328927311466275,-5.075404978091185,-55.50626077283107
12550.68036982674,0.0002255800486309113,-5.232485376624877,-56.19813433257971
12882.30971390528,0.01012143700229211,-5.390336143595142,-56.85657687869798
13222.70177192547,0.01030432914101847,-5.549632007282788,-57.52656500448684
13572.08808297453,0.01029749256447608,-5.712980698515299,-58.17651081340809
13930.70630414712,0.01184187319815288,-5.878737745092168,-58.82676311054365
14298.80037220271,0.007230390089536411,-6.045143383471073,-59.46438199875362
14676.6206694946,0.01216566696785314,-6.213927034146075,-60.08472387355351
15064.42419428321,0.01275302867840115,-6.386263924472756,-60.71783123405537
15462.47473554959,0.0007030756165739278,-6.56051170488343,-61.33049886008969
15871.04305242817,0.01295696355719435,-6.737088018331853,-61.92868629452818
16290.40705838059,0.01314048278454161,-6.913944031336589,-62.53223174878358
16720.85201023603,0.005753304778673223,-7.093322797907523,-63.11728397015725
17162.67070222662,0.01515545545038121,-7.274279575423374,-63.69189896235547
17616.16366514985,0.01377451818041404,-7.456639823594154,-64.26296888835408
18081.63937079356,0.0149321888755782,-7.641545439947723,-64.82338938898722
18559.41444176237,0.01613300936226574,-7.827566978777814,-65.3630130109201
19049.81386684854,0.01569474592286359,-8.014416474390934,-65.91303647859777
19553.17122209352,0.01598033913517091,-8.203128844079687,-66.4311240019027
20069.82889769073,0.008151281584877389,-8.397205305177204,-66.95854468950415
20600.13833088374,0.01770272073832238,-8.59127942293831,-67.46943575317357
21144.46024501853,0.01645224235645484,-8.782833302666088,-67.94391315388104
21703.16489491209,0.01858568792948768,-8.977593527575678,-68.45921249433108
22276.63231870462,0.01275322167891479,-9.172554738510414,-68.93815397435674
22865.25259636632,0.01996011647588232,-9.371795495459171,-69.4054705057132
23469.4261150349,0.01793560176752523,-9.571002285353028,-69.88897940277988
24089.56384136408,0.02082064090919007,-9.77189145413565,-70.33016849390143
24726.08760106841,0.0218512751745522,-9.97295762964724,-70.76842821375884
25379.43036585463,0.01819579834381529,-10.17453909796322,-71.20987306151639
26050.03654793457,0.02169432465190479,-10.37553873114557,-71.6313157752725
26738.36230232015,0.009438966033377096,-10.57963960718732,-72.04688017110928
27444.87583710592,0.02356205357927742,-10.78705950623866,-72.44705379567526
28170.05773195023,0.0237591486657452,-10.9915597050173,-72.85260173859717
28914.40126497177,0.01807141622006066,-11.19886337023909,-73.25334642863787
29678.41274828377,0.02527828235218699,-11.40517196463925,-73.63002155139687
30462.61187239397,0.0142401587498886,-11.6149568209306,-73.9916207361801
31267.53205970494,0.02519430789706041,-11.82268187821632,-74.36267918228364
32093.72082735481,0.02178133297441064,-12.03161441347797,-74.71637966279869
32941.74015964555,0.02756118583850054,-12.24295906703601,-75.08768166783355
33812.16689031208,0.02548757924178841,-12.45758323222693,-75.41238387448561
34705.59309489183,0.02894936034814873,-12.66688748994671,-75.73968994098355
35622.62649346243,0.01504916517005369,-12.87959509536567,-76.08019232371704
36563.89086402058,0.03052375049349132,-13.09343550793254,-76.39782115016945
37530.02646678405,0.02126057438734155,-13.30197271516341,-76.67264522754022
38521.69047970492,0.03185135119982187,-13.51810327592635,-77.00283887643701
39539.55744549054,0.03221934622672723,-13.73165280868407,-77.29768330461786
40584.31973043625,0.03184226646709883,-13.95086288350094,-77.6090158529903
41656.68799538187,0.03595142961162733,-14.16775424260853,-77.83969229800795
42757.39167911238,0.02161684855087792,-14.38377012213952,-78.10846141071602
43887.17949453172,0.03599228191752319,-14.59700550883423,-78.40592804575778
45046.81993794694,0.02876810971567135,-14.81025125285232,-78.66723895216006
46237.1018118093,0.03821561701083166,-15.03021275821482,-78.90986260711355
47458.83476126807,0.03158164537661627,-15.24907401839749,-79.16894115915807
48712.84982490147,0.04043529672285798,-15.46315661845912,-79.39397084729762
50000,0.038146102677567,-15.68353378253351,-79.65862376916711
