#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2NI
#Serial Number: SN:210321ACBC12
#Date Time: 2023-10-10 17:17:11.144
#Start: 10 Hz
#Stop: 1e+06 Hz
#Steps: 151
#Wavegen: Wavegen C1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16 
#Channel: Channel 1
#Range: 5.52732 V
#Offset: 0.000121525 V
#Relative: no
#Channel: Channel 2
#Range: 5.50644 V
#Offset: 3.2475e-05 V
#Relative: yes

Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
10,-0.01161673176809247,-38.33755630696314,89.29236716304248
10.79775162327709,-0.01192460926060028,-37.64566940656532,89.24678928261858
11.65914401179831,-0.0118928841815714,-36.97774599324734,89.12025825801481
12.58925411794166,-0.0120404914782825,-36.30133557203459,89.13395769181123
13.59356390878524,-0.01173387325189539,-35.64539053961013,88.98097658775349
14.67799267622071,-0.01235891417911073,-34.97134415046537,88.96112484846107
15.84893192461114,-0.01197182283975824,-34.31270922496577,88.86457239531165
17.11328304161781,-0.01189748964006189,-33.63761746631622,88.77181023909634
18.47849797422291,-0.0120184835455158,-32.97443083689008,88.64364360496211
19.95262314968883,-0.01167533300360896,-32.30306134036117,88.57843619159621
21.54434690031882,-0.01192038158136411,-31.6297198791713,88.48286197858215
23.26305067153629,-0.01202431099120237,-30.96968282470856,88.32074797392109
25.11886431509577,-0.01177698814168119,-30.30866772029614,88.19191065132794
27.1227257933203,-0.01187350073763207,-29.64043466599419,88.04095660699863
29.28644564625237,-0.0118364418228565,-28.97695906326799,87.92417948855235
31.6227766016838,-0.01197377120427078,-28.30814075765195,87.77180558246891
34.14548873833601,-0.01186857443721583,-27.64741058184845,87.58502446232573
36.86945064519573,-0.01197542578901462,-26.98560245309477,87.38918710647837
39.81071705534969,-0.01168934125147253,-26.32290077768145,87.1655920562489
42.98662347082281,-0.01179513869371635,-25.65459905378025,86.94611881440723
46.41588833612772,-0.0118593438106317,-24.96886739316913,86.701651760088
50.11872336272725,-0.01263860712072918,-24.34898056027581,86.32813828097385
54.11695265464638,-0.01199714030540559,-23.64530753732542,86.15676560873092
58.43414133735175,-0.01184526040505242,-22.99477475557217,85.89415679920916
63.09573444801929,-0.01167574573992307,-22.33950929568728,85.55832747983916
68.12920690579608,-0.01180663723581986,-21.67674307661254,85.21048961737631
73.56422544596421,-0.01212320493769944,-21.01640650894682,84.82395875623655
79.43282347242805,-0.0119147644023479,-20.35674859959403,84.41910963269993
